job_group,skill,url
"C,C++ 개발자",SQL,https://www.wanted.co.kr/wdlist/518/900?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1562&locations=all
"C,C++ 개발자",Linux,https://www.wanted.co.kr/wdlist/518/900?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1459&locations=all
"C,C++ 개발자",Android,https://www.wanted.co.kr/wdlist/518/900?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1438&locations=all
"C,C++ 개발자",Kotlin,https://www.wanted.co.kr/wdlist/518/900?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1544&locations=all
"C,C++ 개발자",Swift,https://www.wanted.co.kr/wdlist/518/900?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1563&locations=all
"C,C++ 개발자",C / C++,https://www.wanted.co.kr/wdlist/518/900?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1530&locations=all
"C,C++ 개발자",PHP,https://www.wanted.co.kr/wdlist/518/900?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1552&locations=all
"C,C++ 개발자",Docker,https://www.wanted.co.kr/wdlist/518/900?country=kr&job_sort=job.recommend_order&years=0&skill_tags=2217&locations=all
"C,C++ 개발자",React,https://www.wanted.co.kr/wdlist/518/900?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1469&locations=all
"C,C++ 개발자",Github,https://www.wanted.co.kr/wdlist/518/900?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1412&locations=all
"C,C++ 개발자",JPA,https://www.wanted.co.kr/wdlist/518/900?country=kr&job_sort=job.recommend_order&years=0&skill_tags=3451&locations=all
"C,C++ 개발자",C++,https://www.wanted.co.kr/wdlist/518/900?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1786&locations=all
파이썬 개발자,Python,https://www.wanted.co.kr/wdlist/518/899?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1554&locations=all
파이썬 개발자,Spring Framework,https://www.wanted.co.kr/wdlist/518/899?country=kr&job_sort=job.recommend_order&years=0&skill_tags=3078&locations=all
파이썬 개발자,AWS,https://www.wanted.co.kr/wdlist/518/899?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1698&locations=all
파이썬 개발자,Git,https://www.wanted.co.kr/wdlist/518/899?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1411&locations=all
파이썬 개발자,iOS,https://www.wanted.co.kr/wdlist/518/899?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1457&locations=all
파이썬 개발자,HTML,https://www.wanted.co.kr/wdlist/518/899?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1539&locations=all
파이썬 개발자,JavaScript,https://www.wanted.co.kr/wdlist/518/899?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1541&locations=all
파이썬 개발자,MySQL,https://www.wanted.co.kr/wdlist/518/899?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1464&locations=all
파이썬 개발자,SQL,https://www.wanted.co.kr/wdlist/518/899?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1562&locations=all
파이썬 개발자,Linux,https://www.wanted.co.kr/wdlist/518/899?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1459&locations=all
파이썬 개발자,Android,https://www.wanted.co.kr/wdlist/518/899?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1438&locations=all
파이썬 개발자,Kotlin,https://www.wanted.co.kr/wdlist/518/899?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1544&locations=all
파이썬 개발자,Swift,https://www.wanted.co.kr/wdlist/518/899?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1563&locations=all
파이썬 개발자,C / C++,https://www.wanted.co.kr/wdlist/518/899?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1530&locations=all
파이썬 개발자,PHP,https://www.wanted.co.kr/wdlist/518/899?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1552&locations=all
