,직군,직무,신입,1년차,2년차,3년차,4년차,5년차,6년차,7년차,8년차,9년차,10년차
131,영업,해외영업,3127,3515,3623,4061,4159,4379,4560,4740,5267,5718,6277
132,영업,솔루션 컨설턴트,3030,3385,3532,3900,4133,4318,4572,4677,5266,5499,6047
133,영업,기업영업,3155,3621,3673,3869,4215,4345,4639,4670,5074,5479,6072
134,영업,고객성공매니저,3030,3385,3532,3900,4133,4318,4572,4677,5266,5499,6047
135,영업,미디어 세일즈,3030,3385,3532,3900,4133,4318,4572,4677,5266,5499,6047
136,고객서비스·리테일,전체,2770,2890,3103,3358,3420,3672,3931,3961,4131,4316,4697
137,고객서비스·리테일,CS 어드바이저,2770,2890,3103,3358,3420,3672,3931,3961,4131,4316,4697
138,고객서비스·리테일,승무원,2770,2890,3103,3358,3420,3672,3931,3961,4131,4316,4697
139,고객서비스·리테일,AS 기술자,2770,2890,3103,3358,3420,3672,3931,3961,4131,4316,4697
140,고객서비스·리테일,이벤트 기획자,2770,2890,3103,3358,3420,3672,3931,3961,4131,4316,4697
141,고객서비스·리테일,플로리스트,2770,2890,3103,3358,3420,3672,3931,3961,4131,4316,4697
142,고객서비스·리테일,여행 에이전트,2770,2890,3103,3358,3420,3672,3931,3961,4131,4316,4697
143,고객서비스·리테일,매장 관리자,2770,2890,3103,3358,3420,3672,3931,3961,4131,4316,4697
144,고객서비스·리테일,매장점원,2770,2890,3103,3358,3420,3672,3931,3961,4131,4316,4697
145,고객서비스·리테일,피부관리사,2770,2890,3103,3358,3420,3672,3931,3961,4131,4316,4697
146,고객서비스·리테일,헤어 디자이너,2770,2890,3103,3358,3420,3672,3931,3961,4131,4316,4697
147,고객서비스·리테일,비주얼머천다이저,2770,2890,3103,3358,3420,3672,3931,3961,4131,4316,4697
148,고객서비스·리테일,MD,2865,2927,3216,3560,3574,3894,4168,4327,4628,4810,5299
149,고객서비스·리테일,패션 MD,2793,3113,3121,3394,3539,3964,4044,4125,4663,4759,5510
150,고객서비스·리테일,리테일 MD,2770,2890,3103,3358,3420,3672,3931,3961,4131,4316,4697
151,고객서비스·리테일,가맹점 관리자,2770,2890,3103,3358,3420,3672,3931,3961,4131,4316,4697
152,고객서비스·리테일,인바운드 텔레마케터,2770,2890,3103,3358,3420,3672,3931,3961,4131,4316,4697
153,고객서비스·리테일,CRM 전문가,2770,2890,3103,3358,3420,3672,3931,3961,4131,4316,4697
