"정규근로자","H.운수 및 창고업(49~52)",20.7,168.6,157.2,11.4,3.4,22961,19947,3836,3415,3125,290,421,5052
"정규근로자","I.숙박 및 음식점업(55~56)",22.4,180.2,174.9,5.2,1.5,13959,13554,2487,2436,2342,94,51,610
"정규근로자","J.정보통신업(58~63)",20.0,163.6,159.1,4.5,0.7,29689,26828,4856,4400,4266,134,456,5474
"정규근로자","K.금융 및 보험업(64~66)",19.8,162.2,157.5,4.7,0.4,41406,30609,6671,4950,4796,153,1722,20663
"정규근로자","L.부동산업(68)",19.7,165.8,163.2,2.6,0.5,23637,21141,3854,3460,3395,65,395,4735
"정규근로자","M.전문, 과학 및 기술 서비스업(70~73)",20.0,162.8,158.6,4.1,0.7,31304,27054,5072,4384,4274,110,688,8260
"정규근로자","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",20.3,166.2,157.4,8.8,3.1,20342,18423,3360,3078,2891,187,282,3379
"정규근로자","P.교육 서비스업(85)",20.1,159.6,155.7,4.0,0.7,27442,25558,4371,4047,3979,68,323,3881
"정규근로자","Q.보건업 및 사회복지서비스업(86~87)",20.8,164.9,159.4,5.5,1.3,19907,18770,3268,3116,2975,141,152,1827
"정규근로자","R 예술, 스포츠 및 여가관련 서비스업(90~91)",21.0,168.9,161.8,7.2,2.5,19720,18308,3301,3095,2925,170,206,2474
"정규근로자","S 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",21.5,168.4,165.1,3.3,1.2,17771,16465,2954,2753,2676,76,201,2413
"비정규근로자","전체",16.3,111.7,107.4,4.3,1.3,17233,16826,1826,1782,1699,83,44,531
"비정규근로자","A.농업, 임업 및 어업(01~03)",17.2,127.1,121.8,5.3,2.6,15834,15227,1874,1800,1711,89,74,893
"비정규근로자","B.광업(05~08)",18.8,142.1,128.6,13.5,7.0,16773,16481,2367,2337,2089,248,29,354
"비정규근로자","C.제조업(10~34)",18.4,152.9,132.8,20.2,5.8,15607,14693,2324,2249,1894,355,75,904
"비정규근로자","D.전기, 가스, 증기 및 공기 조절 공급업(35)",19.6,161.6,154.9,6.7,2.7,20613,18730,3290,3084,2864,221,205,2465
"비정규근로자","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",18.1,148.1,132.8,15.3,3.5,17036,16416,2357,2299,2029,270,58,700
"비정규근로자","F.건설업(41~42)",11.7,91.4,90.2,1.3,0.3,24857,24750,2233,2223,2185,38,11,130
"비정규근로자","G.도매 및 소매업(45~47)",16.7,104.7,102.4,2.3,0.8,13240,12954,1401,1373,1332,42,28,334
"비정규근로자","H.운수 및 창고업(49~52)",18.2,143.7,129.4,14.3,2.6,16850,16110,2365,2323,2014,310,42,505
"비정규근로자","I.숙박 및 음식점업(55~56)",14.6,86.2,83.7,2.5,1.0,11805,11671,1024,1020,978,42,4,47
"비정규근로자","J.정보통신업(58~63)",18.1,131.3,129.2,2.2,0.4,16915,16504,2241,2185,2144,41,56,672
"비정규근로자","K.금융 및 보험업(64~66)",19.7,153.6,150.4,3.2,0.6,30253,22919,4682,3546,3459,87,1136,13630
"비정규근로자","L.부동산업(68)",18.9,167.6,166.4,1.2,0.2,12816,12572,2081,2067,2021,47,14,172
"비정규근로자","M.전문, 과학 및 기술 서비스업(70~73)",18.5,132.8,130.5,2.3,0.5,20006,19410,2626,2548,2503,45,78,937
"비정규근로자","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",17.1,123.9,118.7,5.1,2.1,15497,15072,1861,1821,1722,99,40,483
"비정규근로자","P.교육 서비스업(85)",14.9,90.8,89.5,1.3,0.2,25362,25233,1651,1632,1609,23,19,228
"비정규근로자","Q.보건업 및 사회복지서비스업(86~87)",19.4,101.1,98.8,2.3,0.8,14357,14216,1438,1422,1384,38,16,192
"비정규근로자","R 예술, 스포츠 및 여가관련 서비스업(90~91)",16.6,108.8,105.8,3.1,1.1,13202,13038,1446,1431,1381,50,15,179
"비정규근로자","S 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",15.7,101.5,100.0,1.6,0.4,15457,15207,1501,1474,1449,26,27,324
"비정규직근로자(특수형태포함)","전체",-,-,-,-,-,-,-,2000,1962,1891,71,38,456
"비정규직근로자(특수형태포함)","A.농업, 임업 및 어업(01~03)",-,-,-,-,-,-,-,1927,1854,1766,88,74,883
"비정규직근로자(특수형태포함)","B.광업(05~08)",-,-,-,-,-,-,-,2958,2934,2728,206,24,293
"비정규직근로자(특수형태포함)","C.제조업(10~34)",-,-,-,-,-,-,-,2398,2326,1988,338,72,862
"비정규직근로자(특수형태포함)","D.전기, 가스, 증기 및 공기 조절 공급업(35)",-,-,-,-,-,-,-,3276,3073,2854,218,203,2438
"비정규직근로자(특수형태포함)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",-,-,-,-,-,-,-,2536,2479,2219,261,56,677
"비정규직근로자(특수형태포함)","F.건설업(41~42)",-,-,-,-,-,-,-,2238,2227,2190,38,11,129
"비정규직근로자(특수형태포함)","G.도매 및 소매업(45~47)",-,-,-,-,-,-,-,1603,1581,1550,31,21,255
"비정규직근로자(특수형태포함)","H.운수 및 창고업(49~52)",-,-,-,-,-,-,-,3393,3365,3159,206,28,338
