,리뷰수(개),평점,평균 연봉(만)
(사)한국정보통신진흥협회,131,2.8,4252.0
(주)리서치앤리서치,131,2.5,3439.0
(주)제이엠커리어,131,2.8,2510.0
한국조세재정연구원,128,3.8,4353.0
맥킨지인코포레이티드한국지점,126,4.3,9026.0
(주)디티앤씨알오,124,2.0,3783.0
삼정케이피엠지컨설팅(주),124,3.3,5946.0
자트코코리아엔지니어링(주),124,3.1,4588.0
한국임업진흥원,124,2.7,3699.0
(주)삼육오엠씨네트웍스,123,2.4,3581.0
라이언앤코(주),123,3.1,11000.0
대외경제정책연구원,122,3.7,4541.0
통계청,121,3.9,3279.0
한국발명진흥회,121,3.2,4448.0
(재)대구디지털혁신진흥원,120,2.9,3832.0
기초과학연구원,118,3.3,4194.0
(재)한국농촌경제연구원,117,4.0,4736.0
국회사무처,117,3.4,3779.0
질병관리청,116,3.2,3424.0
한국한의학연구원,116,3.5,4427.0
국방과학연구소,115,3.9,5086.0
한국의약품안전관리원,115,2.3,4085.0
법무법인대륙아주,114,2.3,3031.0
성남도시개발공사,113,3.1,3801.0
한국청소년상담복지개발원,113,3.2,3873.0
주한미국대사관,112,4.1,5144.0
건강가정지원센터,111,2.7,2353.0
한국여성정책연구원,110,2.8,4513.0
(주)테크노베이션파트너스,109,2.3,4132.0
환경보전협회,108,2.4,3938.0
(주)뉴빛테크놀러지,107,2.2,3268.0
과학기술정책연구원,107,2.8,3818.0
랄프로렌코리아(유),107,2.9,4426.0
산업연구원,107,3.7,3996.0
플로우교육(주),107,2.0,3085.0
한국기상산업기술원,107,2.7,3000.0
서울지방경찰청,106,3.4,3958.0
(재)중소기업연구원,105,2.9,3996.0
쿠시먼앤드웨이크필드코리아(유),105,3.2,4567.0
(사)한국외식업중앙회,104,2.2,2645.0
(주)글로벌리서치,104,2.8,3221.0
(주)서연,104,3.4,5169.0
우리회계법인,104,2.7,3553.0
법무법인(유)지평,101,3.2,3217.0
(재)연구개발특구진흥재단,100,2.3,3690.0
(사)벤처기업협회,99,3.0,3761.0
(주)삼양홀딩스,99,2.8,4284.0
(주)지에스씨넷,99,2.8,2629.0
헤브론스타(주),98,2.7,3843.0
정보통신정책연구원,97,3.7,5336.0
세종학당재단,96,2.3,2944.0
(재)포항산업과학연구원,95,3.7,6392.0
신용회복위원회(사),95,3.5,4702.0
(사)한국전자정보통신산업진흥회,94,2.6,5040.0
(주)인사이트코리아,94,2.0,2815.0
대한민국 해병대,94,3.1,3857.0
한국국제보건의료재단,94,1.9,3411.0
법무법인와이케이,93,2.2,2953.0
해양경찰청,93,2.9,4358.0
(주)뷰노,92,3.7,5024.0
네오펙트(주),92,2.7,3792.0
한국대학교육협의회,92,2.7,2886.0
한국항공우주연구원,92,4.0,4694.0
(주)네모파트너즈에스씨지,91,3.0,5477.0
천지세무법인,91,2.3,2515.0
대주회계법인,90,3.1,3092.0
서울시보건환경연구원,90,4.2,2143.0
한국기술교육대학교 직업능력심사평가원,90,3.0,3950.0
디포커스(주),89,2.5,3357.0
축산물품질평가원,89,2.8,3012.0
(재)한국문학번역원,88,2.9,2989.0
(주)메디젠휴먼케어,87,1.9,3137.0
전주국제영화제,87,2.7,4077.0
포커스컴퍼니(주),87,2.3,3520.0
(주)디엔에이링크,86,2.8,3192.0
(주)한경기획,86,2.0,3447.0
로엘법무법인,86,2.6,2921.0
유네스코아시아태평양국제이해교육원,86,3.0,3071.0
주한미군,86,3.8,3978.0
(재)충북테크노파크,85,2.9,3466.0
(주)코리아리서치인터내셔널,85,3.0,3445.0
(주)킨도,85,2.0,4048.0
의료기관평가인증원,85,1.6,3607.0
제주관광공사,84,2.5,2906.0
한국광기술원,84,3.2,6142.0
한국보건사회연구원,84,3.8,3284.0
중국비자서비스센터,83,2.0,2225.0
(주)밀워드브라운미디어리서치,82,2.9,3640.0
국방기술품질원,82,3.3,4770.0
법무법인고구려,82,2.0,2595.0
나이스알앤씨(주),81,2.4,3868.0
아이진(주),81,1.9,4088.0
한국국제교류재단,81,2.9,3538.0
(사)한국경제인협회,80,3.4,5301.0
에너지경제연구원(재),80,3.9,4301.0
(재)한국품질재단,79,2.8,5273.0
(주)라이프워시퍼,79,3.5,3111.0
대한건축사협회,79,2.4,2976.0
리챠드프로헤어,79,2.2,3275.0
한국사회적기업진흥원,79,3.0,3431.0
(주)현대리서치,78,3.1,3143.0
(사)중소기업기술혁신협회,77,3.3,4332.0
한국해비타트(사),77,2.4,3016.0
(주)다도글로벌,76,1.7,3908.0
(주)삼광랩트리,75,1.9,3374.0
(주)휴먼컨설팅앤메니지먼트,75,1.4,3053.0
한국전파진흥협회,75,3.0,3675.0
한아세안센터,74,2.5,4109.0
(주)아이알큐더스,73,2.3,3768.0
이노버즈미디어(주),73,3.2,3444.0
(사)한국음악저작권협회,72,2.7,3886.0
(주)세렌라이프,72,1.9,4162.0
자동차부품연구원,72,3.1,3695.0
티엔에프리더스(주),72,2.8,2519.0
(주)바이오리더스,71,1.7,3891.0
부천문화재단,71,3.2,2806.0
세무법인서진,71,1.7,2634.0
알이비파트너스(주),71,2.4,2648.0
한국신발피혁연구원,71,3.2,4955.0
