,리뷰수(개),평점,평균 연봉(만)
(주)홈매니지먼트수가,2,3.0,2298
(주)효성컴퍼니,2,4.5,2434
너스키니,2,5.0,3388
이어드림,2,3.0,2464
캐주얼스텝스(주),2,3.0,3388
호텔365(주),2,4.5,2460
(주)놀아조,1,1.0,3388
(주)디깅미,1,5.0,3388
(주)디깅미인터내셔널,1,4.0,3388
(주)아아컴퍼니,1,1.0,3388
(주)아페토,1,1.0,3388
(주)티오앤지,1,5.0,3036
(주)프로보티브,1,5.0,3388
굿라이프,1,5.0,3388
라이프그래피,1,5.0,3388
로캣,1,5.0,3533
모아에스앤에스(주),1,2.0,2237
알파인,1,5.0,3388
에이치에이치제이,1,4.0,3388
위투쉐어,1,2.0,3388
잭슨랩,1,1.0,3388
하드워커스,1,3.0,3388
