,리뷰수(개),평점,평균 연봉(만)
(주)어노테이션에이아이,16,2.3,4983
캠블리(유),16,2.9,3464
클루넷(주),16,2.7,4556
(유)로지텍코리아,15,4.2,6184
(주)글래스돔코리아,15,4.5,3756
(주)니도컴퍼니,15,3.9,2770
(주)디투리소스,15,2.7,2290
(주)로보코리아,15,3.5,3921
(주)와이즈인컴퍼니,15,3.3,4438
(주)인프랩,15,4.6,3649
(주)코드브릭,15,4.4,4313
(주)헬로비즈,15,3.3,2913
다트쉐어링(주),15,2.1,2994
(주)뉴빌리티,14,4.1,5225
(주)다이나시스템,14,2.1,3108
(주)리버스랩,14,2.3,3813
(주)비긴메이트,14,3.6,3357
(주)알투브이,14,3.9,6264
(주)오썸피아,14,3.1,2996
(주)와이어바알리,14,2.6,3538
팀스파르타(주),14,4.4,3758
(주)나인투원,13,3.4,5340
(주)네이처모빌리티,13,2.2,4621
(주)넥스트시스템,13,3.2,2970
(주)비글,13,1.8,4195
(주)쉐어그라운드,13,4.2,4036
(주)쓰리빌리언,13,3.5,3825
(주)알에프엑스소프트,13,2.8,3538
(주)업스테어스,13,3.0,3974
(주)컨텍,13,3.3,4325
(주)티피엠엔,13,2.4,3366
에이씨앤티시스템,13,3.2,3524
인포보스(주),13,3.4,2487
파킹스퀘어,13,3.2,3086
(주)거북선컴퍼니,12,3.8,4034
(주)서우컴퍼니,12,3.8,2757
(주)이지테크핀,12,3.8,5269
(주)케이안컴퍼니,12,2.1,3474
지와이서울(주),12,4.5,3304
크레파스플러스(주),12,1.6,3397
(주)그린스테이지랩,11,1.4,2527
(주)루테스,11,2.6,3306
(주)마이티하이브한국,11,3.1,4380
(주)바이오에이지,11,1.6,3031
(주)아이포트폴리오,11,3.5,3859
(주)아트랩,11,3.5,4223
(주)코나투스,11,4.6,5204
(주)피에트,11,2.2,4812
(주)핀플레이,11,2.9,3315
가우디오랩(주),11,4.1,3297
비씨랩스(주),11,2.6,4151
아미정보통신,11,1.3,2723
인트플로우(주),11,4.5,2988
퀵퀵(주),11,1.5,2298
(주)미드키스,10,2.3,2477
(주)바이셀스탠다드,10,4.9,4476
(주)에너닷,10,4.0,3060
(주)엔젤스윙,10,2.8,3758
(주)오렌지스퀘어,10,2.9,3826
(주)주피터코퍼레이션,10,2.1,2089
(주)퓨쳐플랜,10,2.7,3670
데이콘(주),10,3.6,3219
큐비트시큐리티(주),10,2.8,3912
(주)두브레인,9,3.7,2986
(주)루센트블록,9,3.9,4569
(주)제네시스랩,9,4.6,5078
(주)트리니들,9,3.8,3511
(주)팍스닥,9,2.4,5541
(주)휴먼밸런스,9,2.9,3563
