,리뷰수(개),평점,평균 연봉(만)
한국토지주택공사,2106,3.7,3546
한전KPS(주),1255,3.8,3958
현대엔지니어링(주),1241,3.4,6119
현대건설(주),1081,3.3,6185
삼성물산(주) 건설부문,819,3.4,6251
(주)대우건설,802,3.5,5525
지에스건설(주),776,3.2,6449
주택관리공단(주),724,2.3,2795
에스케이에코플랜트(주),721,3.3,5684
디엘(주),619,3.2,5783
(주)포스코이앤씨,600,3.5,5586
한국도로공사,500,3.8,4172
롯데건설(주),487,3.1,5784
(주)국보디자인,474,2.2,3324
(주)한국가스기술공사,462,2.9,4020
(주)보미건설,434,2.9,4547
(주)서희건설,427,1.9,4061
(주)수산인더스트리,415,3.2,3957
한양이엔지(주),405,2.7,4191
(주)도화엔지니어링,401,3.0,4730
(주)금화피에스시,392,2.9,4180
휴먼터치(주),377,1.8,3006
(주)부영주택,349,2.1,4907
(주)호반건설,343,2.8,4848
코오롱글로벌(주),343,3.1,5225
(주)한화건설,334,3.1,5576
(주)케이씨씨건설,328,2.5,4936
대방건설(주),322,2.5,4627
(주)에이치제이중공업,313,2.8,5395
한신공영(주),288,2.3,5003
(주)케이알산업,282,2.4,5373
계룡건설산업(주),277,2.7,5058
(주)희림종합건축사사무소,265,2.8,3739
(주)유신,246,2.9,4246
코레일테크(주),245,2.2,3145
에스지씨이테크건설(주),243,3.1,5064
금호건설(주),239,2.9,5271
세보엠이씨(주),239,2.4,3668
아이에스동서(주),235,2.9,4520
우미건설(주),231,3.5,5153
태영건설(주),229,3.0,5946
(주)금강주택,228,2.0,5394
(주)한국종합기술,228,3.3,4506
(주)반도건설,225,2.6,5261
한국산업단지공단,224,3.8,4095
(주)다원앤컴퍼니,223,2.4,3374
(주)서한,219,2.7,3945
(주)해안종합건축사사무소,218,3.5,4137
(주)동해종합기술공사,204,2.5,3854
씨비알이코리아(주),197,3.4,4699
교보리얼코(주),194,2.5,3874
한솔이엠이(주),191,2.3,3807
벽산엔지니어링(주),188,2.5,4345
두산건설(주),187,3.2,5392
쌍용건설(주),184,3.2,5570
(주)태성환경연구소,183,2.1,3041
동부건설(주),176,3.1,5337
삼호개발(주),176,2.5,3924
(주)수성엔지니어링,174,2.7,3935
(주)한양,174,2.8,5102
강산건설(주),174,2.2,4481
브니엘네이처(주),173,2.7,2890
아세아환경조경,172,2.0,3407
(주)선진엔지니어링종합건축사사무소,170,2.7,3590
현대산업개발(주),170,3.1,5018
자이에스앤디(주),169,3.1,4601
존스랑라살(주),167,2.7,3777
존슨콘트롤즈인터내셔널코리아(주),167,2.6,3672
동일기술공사(주),163,2.5,3608
