,리뷰수(개),평점,평균 연봉(만)
(주)스터디맥스,162,2.7,3426
(주)씨케이앤비,162,1.9,2642
(주)위세아이텍,161,2.4,3512
(주)위자드랩,160,2.2,3477
(주)에스더블유엠,159,1.9,3930
(주)넷앤드,158,2.9,5500
(주)아이티에스노아,157,1.9,3661
(주)디파이,156,3.2,3381
(주)싸이버로지텍,156,3.2,5190
(주)플랜아이,156,3.0,3065
(주)플레이오토,156,2.7,3160
크리스피드(주),156,2.7,3380
(주)누리플렉스,155,2.8,3768
와치텍(주),155,3.0,3468
유라클(주),155,3.0,4281
인픽스(주),154,3.1,3299
(주)모비젠,153,3.2,4058
(주)티맥스데이터,152,3.0,5219
(주)시큐브,151,2.5,3175
블리자드엔터테인먼트(유),151,2.8,5164
(주)아이엠폼,149,2.3,2676
(주)인지소프트,149,2.8,4152
(주)토탈소프트뱅크,149,2.5,2895
(주)디케이비엠시,148,2.0,3143
(주)판도라티비,148,2.7,3050
(주)와이어트,147,2.4,3990
펜타시스템테크놀러지(주),147,3.3,3860
(주)버넥트,146,3.0,4547
(주)셀바스에이아이,146,2.9,4583
비스텔(주),146,3.5,3557
메디컬아이피(주),145,3.6,4315
집닥(주),145,3.4,3468
(주)유웨이어플라이,144,2.5,3083
(주)위엠비,143,2.9,3781
링크제니시스(주),143,2.3,2945
소프트캠프(주),142,2.7,4517
(주)뤼이드,141,3.1,5209
(주)유디아이디,140,2.8,3399
(주)티라유텍,140,2.5,3889
(주)파인원홀딩스,139,2.7,3362
디아이웨어(주),138,2.2,4503
(주)사이버다임,137,2.7,3751
(주)이씨오,137,2.8,3123
메가넥스트(주),137,2.8,3267
비에스지파트너스(주),136,2.8,3833
스포카(주),136,3.3,2970
메타빌드(주),135,2.7,3370
씨앤토트플러스(주),135,2.2,3026
유한책임회사앤서스랩코리아,135,2.8,5308
(주)디케이아이테크놀로지,134,2.8,3582
(주)아이디에스앤트러스트,133,2.9,4125
브레인즈컴퍼니(주),133,3.0,3572
(주)에스티에이테스팅컨설팅,132,2.8,3203
(주)트윔,132,2.6,3717
(주)헬로인사,132,2.4,3090
하나아이앤에스(주),132,2.4,3935
(주)대교씨엔에스,131,2.9,5560
맵퍼스(주),131,3.0,4340
(주)이포넷,130,2.9,3591
(주)핸디소프트,130,2.4,3650
에스지에이(주),130,2.5,3505
한국콩스버그마리타임(주),130,2.8,4636
퓨즈(주),129,2.1,3035
(주)루나소프트,128,2.3,3698
(주)산하정보기술,128,2.8,3142
(주)포비즈코리아,128,2.4,3492
(주)드림인사이트,126,3.1,3151
(주)에코시안,126,3.1,3579
(주)유젠,125,2.9,3835
(주)이지미디어,125,3.3,3100
대아티아이(주),125,2.4,3994
엔셀(주),125,2.5,2907
(주)알엠소프트,124,2.5,2850
(주)와그,124,2.2,3568
(주)한화컨버전스,124,2.6,4309
아이젝스(주),124,2.3,3299
엔아이티서비스(주),124,3.3,3212
(주)네이블커뮤니케이션즈,123,2.7,4596
네티브(주),123,2.5,3172
(주)쓰리디팩토리,122,3.2,3440
(주)미소정보기술,121,2.7,3327
(주)코스콤,121,3.7,7036
(주)씨아이솔루션,120,2.5,3237
(주)파라메타,120,2.4,4313
(주)시티랩스,119,2.6,3405
(주)지란지교소프트,119,3.4,3750
(주)컴트루테크놀로지,119,2.4,3026
아이크래프트(주),119,3.1,3989
이음소시어스(주),119,3.1,3193
(주)생각연구소,118,3.0,3966
(주)씨티티디,118,2.7,2826
다쏘시스템코리아(주),118,2.9,5685
다하미커뮤니케이션즈(주),118,2.4,3067
텔코웨어(주),116,2.9,4205
(주)디유넷,115,2.8,3173
(주)비아이매트릭스,115,2.9,3875
(주)아비드이앤에프,115,2.2,3293
인버스(주),115,2.5,3554
(주)루키스,114,2.0,3301
(주)퓨처젠,114,2.4,3223
(주)데이타솔루션,113,2.6,3933
(주)엔텍정보통신,113,2.6,2838
(주)윤디자인그룹,113,2.3,2691
(주)재능이아카데미,113,2.0,3363
(주)에스에스알,112,3.0,4098
디자인커뮤니케이션(주),112,1.2,2329
오비고(주),112,3.3,4719
위지언(주),112,1.9,2927
지티원(주),112,2.5,3620
(주)동훈아이텍,111,2.6,3134
(주)이노트리,111,2.6,3458
(주)티머니,111,3.3,5320
(주)플래티어,111,3.1,4336
노츠(주),111,2.1,3209
월급날(주),111,2.8,2790
위두커뮤니케이션즈(주),111,2.3,2846
(주)유니포인트,110,2.5,3396
(주)포시에스,110,2.6,3830
오티아이(주),110,3.1,3588
(주)다우데이타,108,3.5,4312
(주)미디움,108,2.2,4217
티아이스퀘어(주),108,2.0,3892
(주)도브투래빗,107,2.6,3392
(주)두잇시스템,107,2.5,3058
(주)소리자바,107,2.5,3212
(주)힙합퍼,107,2.0,4030
아이퀘스트(주),107,2.2,3366
오지큐(주),107,2.8,3754
(주)와이지플러스,106,2.8,3869
(주)파스토,106,2.0,4587
선도소프트(주),106,2.7,2835
