,리뷰수(개),평점,평균 연봉(만)
(주)반비,3,4.3,3933
(주)삼십구도씨,3,3.7,3150
(주)이팝소프트,3,4.7,3933
굿네트워크,3,2.0,2540
라이프마켓(주),3,2.0,2805
앰포(주),3,3.7,3933
엠유네트웍스,3,3.7,3722
트라이오넷(주),3,4.0,3264
(주)노아노마드,2,4.5,2866
(주)라라잡,2,3.5,3589
(주)모션랩스,2,3.0,3933
(주)소리를보는통로,2,4.5,3933
(주)소셜라디오컴퍼니,2,4.5,5125
(주)엔클라우드,2,3.5,3078
(주)웰바이,2,4.5,3933
(주)키위스튜디오,2,3.5,3933
로동,2,4.0,2774
맥스정보통신,2,4.0,3933
브이로거(주),2,5.0,2814
스카이파이브코리아(주),2,2.0,3933
스페이스네트(주),2,3.5,2460
에스모바일(주),2,3.0,4071
유진인포텍,2,3.0,4815
(주)고잇,1,2.0,3933
(주)마인드엘리베이션,1,4.0,3933
(주)스프라이핏코리아,1,5.0,3933
(주)싸이드워크엔터테인먼트,1,4.0,3933
(주)씨앤아이피,1,3.0,2298
(주)에스오더,1,1.0,3933
(주)임퍼펙트,1,3.0,3933
(주)케이에이치,1,5.0,1865
비씨앤엠(주),1,1.0,4092
아이피어드레스(주),1,5.0,7175
윔두코리아(유),1,5.0,17550
이노에스제이(주),1,4.0,3933
이노온(주),1,5.0,2815
이엔에프텔레콤(주),1,1.0,3933
퓨처텔,1,1.0,1575
플랫클(주),1,2.0,1075
