,리뷰수(개),평점,평균 연봉(만)
조인스중앙(주),63,2.7,4027
프렌트립(주),63,2.7,3529
(주)키메디,62,3.0,3926
마이뮤직테이스트,61,2.7,3290
비드코칭연구소(주),60,3.6,2775
클래스팅(주),60,3.4,4617
(주)오마이뉴스,59,2.8,2979
(주)취업뽀개기,59,2.4,2614
(주)연합인포맥스,58,3.4,4602
(주)이지원인터넷서비스,58,1.8,2880
에이스탁(주),58,2.1,2518
지플러스(주),58,2.8,2484
퍼블리시(주),58,4.0,3950
(주)자이냅스,57,2.6,4244
럽디(주),57,3.1,3794
(주)푸시,56,3.0,3348
(주)트리짓소프트웨어,55,2.9,3326
휴빌론,55,2.9,3785
(주)보이스루,54,3.3,3948
(주)힐링페이퍼,54,3.6,4110
게임메카,54,1.7,3102
(주)멸치,53,2.5,3686
바른경제티브이(주),53,2.5,4198
플라이앤컴퍼니(주) 푸드플라이,53,2.4,2902
콩테크(주),52,3.5,4868
(주)컬쳐히어로,51,3.1,3809
드림미즈(주),50,2.1,2599
씽크풀(주),50,2.8,3273
(주)미트박스글로벌,49,2.6,4011
람다256(주),49,3.1,5415
(주)스마트콘,48,2.1,2918
(주)자비스앤빌런즈,48,3.3,4218
메리트인(주),48,2.6,1946
자우미디어(주),48,2.9,3578
(주)올윈에듀,47,2.6,2887
(주)포워드퓨처,47,2.3,2736
네이버제트(주),47,4.1,5392
큐브앤큐브(주),47,1.9,2290
(주)예람,46,2.8,2578
(주)우리가앤,46,1.5,2767
팀블라인드,46,4.2,4533
푸르넷닷컴(주),46,2.1,3311
(주)비에스에스스포츠,45,2.4,3342
(주)엑스포츠미디어,45,2.8,2824
(주)위버스컴퍼니,45,3.2,5725
야후코리아,45,3.9,9025
워크잡(주),45,2.3,2815
(주)넥스트페이퍼엠앤씨,44,1.5,2890
(주)디스이즈게임닷컴,44,2.3,2355
더벨(주),44,2.8,4513
(주)유피소프트,43,3.1,2839
위트콤(주),42,3.0,3412
(주)다우인큐브,41,2.2,3352
윌비커뮤니케이션,41,2.0,3163
(주)레전더리스,40,2.6,3242
(주)미스터멘션,40,3.5,3137
티온네트워크(주),40,2.8,3742
(주)그립컴퍼니,39,3.9,4618
(주)엔라이즈,39,3.5,4042
(주)해피라이징,39,2.5,3377
핀다,39,3.7,5773
(주)엔에이치엔데이터,38,3.0,3517
코드마(주),38,2.9,3057
(주)애드니즈컴퍼니,37,3.6,2529
이지스커뮤니케이션즈(주),37,1.8,2650
마준소프트(주),36,2.2,3134
블룸버그코리아(유),36,2.9,5728
셀렉트스타(주),36,3.3,4318
(주)꿈꾸는다락방,35,2.4,3589
씨온드림(주),35,2.7,2975
아토머스(주),35,3.1,3379
(주)비디오몬스터,34,3.0,3363
(주)튜터링,34,2.9,3392
아이뉴스24(주),34,2.6,3631
(주)바이탈힌트코리아,33,2.6,3780
(주)엠티데이타,33,2.5,3095
티맵모빌리티(주),33,3.5,6066
(주)샤플,32,2.5,2709
(주)아이엔지스토리,32,3.2,3035
(주)엔더블유홀딩스,32,2.9,3811
(주)유웨이,32,2.9,3092
비주얼다이브(주),32,2.4,3325
카드고릴라,32,2.7,2845
태그바이컴퍼니(주),32,4.1,3434
톰슨로이터코리아(주),32,3.5,5986
(유)프리디소프트,31,3.9,4212
(주)버키,31,2.6,3709
(주)콤위즈,31,2.4,2535
씨비에스아이(주),31,2.5,3187
월급쟁이부자들(주),31,4.4,5000
(주)그로비교육,30,2.3,4054
(주)오베네프,30,3.1,2838
웨더뉴스(주),30,2.7,4182
(주)마이테이블,29,2.5,2904
(주)미디어브레인,29,3.1,2464
(주)스윗코리아,29,3.6,5273
(주)컬러버스,29,2.4,4987
(주)테드스토리,29,2.4,3598
(주)메디랩스,28,2.0,2728
(주)바우라움,28,3.1,4312
(주)시이오랩,28,2.7,3556
(주)코리아메디케어,28,3.0,3750
(주)팟빵,28,2.1,3350
쓰리디메디비젼(주),28,2.2,3115
콜랩코리아(주),28,2.6,3961
(주)맘편한세상,27,2.9,4545
(주)메가뉴스,27,3.2,3460
아크로고스(주),26,2.2,2426
(주)대덕넷,25,3.1,2903
(주)아이하트,25,2.9,3062
(주)에이전트소프트,25,3.4,4243
(주)엔잡얼라이언스,25,2.4,2786
(주)크리마,25,4.0,4056
듀스펙(주),25,2.2,3091
(주)강남엄마,24,2.9,3842
(주)앱포스터,24,2.5,3772
(주)넥스트레벨스튜디오,23,3.3,3178
(주)단감소프트,23,2.9,3059
(주)브리드컴퍼니,23,2.6,2568
(주)씨에이씨컴퍼니,23,3.0,2845
(주)오디케이미디어,23,2.7,5053
(주)플라시스템,23,3.0,3452
에덴레드코리아(주),23,2.7,2387
제이투엔(주),23,2.0,3471
(주)누리컨설팅,8,3.5,3098
(주)펫앤스토리,22,1.8,2636
뉴스웍스(주),22,2.4,3285
충남북부상공회의소,22,2.0,3086
콘텐츠퍼스트(주),22,3.5,3698
(주)인스테리어,21,3.4,4305
(주)포겟,21,2.2,2893
(주)문토,20,3.1,3584
(주)브이알에듀,20,3.0,2775
(주)스펙터,20,3.1,4277
(주)지냄,20,3.7,3437
(주)컴팩트디,20,2.8,3555
나이스지니데이타(주),20,3.4,4031
컨텐츠포탈(주),20,2.0,2558
현현교육(주),20,2.9,2607
(주)같다,19,2.8,4184
(주)브레인콘텐츠,19,2.5,3534
(주)쉐어러스,19,2.5,2558
(주)아이리스닷넷,19,3.5,2694
(주)에브리싱,19,3.0,3897
(주)와이티엔플러스,19,3.0,3541
(주)팬딩,19,2.9,3452
(주)포스타입,19,3.6,3935
(주)하얀마인드,19,4.7,4788
오마이사이트(주),19,2.6,2551
(주)아이유웰,18,2.0,2419
(주)오마이호텔앤코,18,2.4,3657
(주)토큰포스트,18,3.6,3143
데이터킹(주),18,2.7,2882
피에프아이엔(주),18,3.0,2647
(재)아침편지문화재단,17,1.5,2512
(주)아이앤텍,17,3.3,2958
(주)엔디소프트,17,2.9,2861
(주)웨이버스,17,2.5,3141
(주)헬로우엠,17,4.7,0
(주)헬코미디어,17,2.2,3355
브릿지모바일,17,3.8,2183
스튜디오리코(주),17,3.0,3671
아이티엠지,17,2.1,3326
에듀스(주),17,2.5,3392
엠버스(주),17,2.5,3084
(주)건강한친구들,16,4.6,2757
(주)마이페어,16,3.6,3991
(주)에스앤피랩,16,2.9,2994
(주)제타미디어,16,3.2,2978
(주)차차크리에이션,16,1.4,3778
(주)코니스트,16,2.9,3544
(주)화이트큐브,16,4.1,4675
그리코리아,16,3.1,5250
씨엔씨레볼루션(주),16,2.8,3440
와이즈인포넷(주),16,1.9,2515
(주)레디앤스타트,15,3.4,3741
(주)오피유커스,15,3.0,2433
(주)온라인사업지원센터,15,2.2,2538
(주)와우플래닛,15,2.8,3939
마이디팟(주),15,1.5,2169
모나와닷컴(주),15,1.5,2809
웰티즌(주),15,1.7,3023
(주)더블엔씨,14,3.9,3135
(주)로앤비,14,3.1,3847
(주)팀삼층,14,2.6,0
(주)플랫팜,14,3.7,4378
개념원리에듀(주),14,2.7,4184
아이픽셀(주),14,3.8,0
엔구코리아(주),14,2.1,2890
재미와의미,14,2.1,2644
(주)데마시안,13,3.6,3223
(주)링거스튜디오,13,2.1,3277
(주)메디스트림,13,3.8,5036
(주)스피링크,13,3.0,3548
(주)아이티씨교육,13,2.8,3240
(주)유니온아일랜드,13,3.8,2792
(주)토토로사,13,2.0,3488
글로벌셀러창업연구소(주),13,2.7,0
두두씨에스(주),13,2.8,5307
밀레21(주),13,2.0,2176
예스폼(주),13,3.5,3333
(주)마카롱팩토리,12,4.0,3635
(주)메이커빌,12,3.1,0
(주)비프로컴퍼니,12,3.0,3621
(주)아파트너,12,2.7,3660
(주)지텐션,12,3.3,3482
(주)팬마음,12,1.4,3595
(주)펫미,12,1.9,6435
(주)플랜티엠,12,2.5,3521
더블업커뮤니케이션(주),12,2.5,2233
리서치애드(주),12,3.3,2708
마이티솔루션(주),12,3.4,3107
멀티비츠이미지(주),12,2.5,2667
비비엠 글로벌,12,2.3,0
이웃닷컴(주),12,3.3,2961
(주)로민,11,3.6,4486
(주)미디어리얼리서치코리아,11,4.0,2642
(주)쇼크,11,2.5,2740
(주)애드윈코리아미디어센터,11,1.2,2420
(주)액시스소프트,11,4.6,3602
(주)에이피아이넥스트,11,1.6,2840
(주)위에이알,11,3.1,4742
(주)컨슈머인텔리전스,11,3.8,3678
(주)클레온,11,3.4,5545
(주)타이거팀,11,2.5,3283
(주)티켓플레이스,11,2.0,3813
라이프브릿지그룹(주),11,2.0,2338
모닝스타코리아(주),11,2.7,4188
북잼(주),11,3.0,3386
솔루텍시스템(주),11,2.6,2751
쉐이커미디어(주),11,3.8,6785
아주부코리아,11,2.4,3171
아테나스랩(주),11,4.3,3340
패스엔조이(주),11,2.6,2298
플레이포럼(주),11,3.2,2555
(주)고브이알,10,2.9,0
(주)디에이그라운드,10,4.7,4160
(주)러너스,10,4.4,0
(주)스티븐스,10,2.1,5582
(주)써클인컴퍼니,10,2.6,0
(주)아트쉐어,10,3.9,3044
(주)케이알메딕스,10,2.5,3256
(주)코스모스이펙트,10,4.2,2726
(주)콘스탄트,10,3.7,0
(주)테이블엔조이,10,1.7,2789
(주)피플벤처스,10,2.8,3479
라인콩코리아(주),10,3.5,3433
머니매그넷(주),10,4.4,3362
스틸앤스틸(주) 스틸데일리,10,2.3,3996
스포츠서울미디어(주),10,2.0,3076
코리아닷컴커뮤니케이션즈(주),10,2.2,3121
(주)라이언로켓,9,2.1,4223
(주)마이플레이컴퍼니,9,4.3,0
(주)미라클핀테크,9,2.3,4014
(주)아이트럭,9,4.6,3467
(주)아이티조선,9,2.4,3006
(주)이커넥트,9,3.8,0
(주)지지옥션,9,3.7,3414
(주)퓨쳐위즈,9,4.2,4821
(주)피플링크,9,2.6,3108
(주)히포케이메논,9,2.8,3020
베스트바이어(주),9,2.4,2511
비트패킹컴퍼니(주),9,4.2,2974
웹프라임(주),9,2.8,2711
위샤오(주),9,2.9,2823
토파스여행정보(주),9,3.2,4024
(주)상상스퀘어,8,4.8,4499
(주)샤인기획,8,2.0,0
(주)아이앤나,8,3.9,3375
(주)오토인,8,3.9,0
(주)웰로,8,2.6,3500
(주)팅코,8,4.3,0
(주)해빗팩토리,8,4.5,5091
아론티(주),8,2.8,1680
에브리온티브이(주),8,3.5,4054
엠게임이엔티(주),8,2.4,2464
와이즈파트너(주),8,2.4,2541
위드마케팅(주),8,4.0,2494
정글콜론,8,2.8,2225
중앙일보조인스랜드(주),8,2.9,0
케이티미디어허브(주),8,3.8,5089
트리플콤마(주),8,2.4,4160
파프리카미디어(주),8,2.5,2500
(주)더비앤리치,7,1.6,3235
(주)레블코퍼레이션,7,5.0,3074
(주)베리워즈,7,2.3,3248
(주)앤스시스템,7,2.3,0
(주)앤스페이스,7,4.9,2799
(주)원스글로벌,7,1.9,2824
(주)위시빈,7,1.7,6536
(주)큐라에스,7,4.0,0
(주)플랫가든,7,4.0,0
(주)플필,7,5.0,0
(주)하이픈코퍼레이션,7,2.6,3832
굿소프트웨어랩,7,3.3,3391
더아이원(주),7,1.3,2300
비마이펫(주),7,3.6,2730
아이엠에이치씨,7,3.1,2509
유스트림코리아(주),7,3.0,2367
크로스엠,7,4.6,2676
(주)데브툴즈,6,3.7,4377
(주)린온컴퍼니,6,4.2,3321
(주)모예,6,4.2,3200
(주)박차컴퍼니,6,3.7,3268
(주)밴플,6,1.5,0
(주)비햅틱스,6,4.3,3291
(주)씨에이치플랫폼,6,2.2,2765
(주)에스비앤파트너스,6,3.8,3135
(주)엘아이티코퍼레이션,6,4.8,0
(주)옥션원,6,2.8,0
(주)케이티시즌,6,2.7,0
(주)피클플러스,6,4.5,6043
포루스기획,6,3.7,2480
닥스클럽(주),6,1.7,3196
리미티드제로,6,3.3,2462
린치핀기획,6,3.0,2428
스피치로그(주),6,3.0,3087
알키미컨설팅(주),6,3.0,1933
에시즈글로벌(주),6,3.0,2380
카레나인터랙티브(주),6,3.5,2359
퀘스트,6,4.2,0
팜스트림,6,3.7,0
펄스나인(주),6,1.3,3385
(주)디어테일,5,3.2,0
(주)바이칼에이아이,5,2.8,3075
(주)배틀필드홀딩스,5,3.8,0
(주)브랜드스탁,5,2.0,1755
(주)어메이저,5,2.4,0
(주)웰그램,5,2.4,0
(주)이루미에듀테크,5,2.2,2919
(주)익스플레인,5,1.4,3729
(주)작당모의,5,2.4,4376
(주)채움플러스,5,3.6,0
(주)칠로엔,5,3.4,3857
(주)커넥팅닷,5,4.4,2393
(주)투미유,5,2.2,2921
(주)페르소나미디어,5,3.4,2869
(주)하이어엑스,5,4.4,3790
그루버스(주),5,2.8,1853
나인정보통신(주),5,2.2,3171
더파이컴퍼니(주),5,1.6,3122
미디어잇(주),5,3.0,2815
미디어채널(주),5,2.0,3543
스튜디오사월,5,2.4,3072
씨벤티지(주),5,2.8,3956
씨앤씨미디어(주),5,2.4,2890
아하앤컴퍼니(주),5,4.8,5785
언리밋테일(주),5,5.0,0
오버테이크(주),5,4.4,3468
위즈넷(주),5,3.6,3530
트레져랩스(주),5,1.0,2880
핀브릿지(주),5,4.0,2360
(주)나인커뮤니케이션,4,1.5,3208
(주)딥코어,4,3.5,3049
(주)뷰티소셜,4,4.3,3576
(주)아시안보스,4,1.8,3220
(주)야미펀,4,5.0,0
(주)와이드브레인,4,3.3,0
(주)워키도기,4,4.3,0
(주)위뉴,4,3.3,4193
(주)인졀미,4,4.5,0
(주)코박,4,3.8,0
(주)프라이피,4,3.3,3019
(주)한빗코코리아,4,2.8,0
글로벌리어(주),4,4.8,3025
뷰로반다익코리아(유),4,4.3,4588
비타마인드(주),4,2.3,2067
위 무브. (We move.),4,4.5,7037
유인에듀닉스(주),4,3.0,3477
윤익(주),4,3.5,2427
제이더블유파트너(주),4,3.5,0
케이아이비넷(주),4,2.0,5966
플로우마케팅,4,4.3,3237
하나로드림(주),4,3.5,1660
(주)가지랩,3,5.0,0
(주)고픽커뮤니케이션,3,4.0,0
(주)김캐디,3,4.7,3795
(주)도그메이트,3,3.0,2623
(주)두들러,3,5.0,0
(주)디자이노블,3,3.3,6101
(주)딥퀘스트,3,4.0,0
(주)마이체크업,3,5.0,2475
(주)브링프라이스,3,3.0,3100
(주)블로코엑스와이지,3,4.0,0
(주)슈퍼진,3,4.3,8205
(주)씨앤에스솔루션컴퍼니,3,2.3,2830
(주)안지향,3,5.0,0
(주)오쉐어,3,3.7,1950
(주)올블랙,3,4.7,2106
(주)워트인텔리전스,3,4.0,4237
(주)재미,3,4.3,0
(주)텍스트팩토리,3,4.7,2448
(주)핑거스토리,3,4.3,0
(주)하트잇,3,3.0,6013
SRTPlay,3,3.7,4790
세이프넷(주),3,4.0,0
시사인뉴스(주),3,3.3,0
씨채널코리아(주),3,2.3,2821
아이디엔(주),3,3.3,0
에이스회원권(주),3,2.7,2523
왓이프(주),3,4.0,4396
위키넷(주),3,3.3,3333
컨시어지서비스코리아(주),3,3.3,2743
케이에듀(주),3,2.0,1763
크리낙(주),3,2.7,0
티씨엔미디어(주),3,4.0,3884
페이워크(주),3,4.7,0
포모스(주),3,3.3,2525
(주)그래미엄,2,3.5,0
(주)노잉커뮤니케이션즈,2,5.0,0
(주)다니다,2,1.0,0
(주)도시속밀림,2,3.0,0
(주)디포인트,2,1.5,0
(주)라르고,2,4.5,0
(주)로플리,2,3.5,0
(주)리브애니웨어,2,3.5,0
(주)마켓프로,2,3.0,0
(주)메디히어,2,2.5,5161
(주)베드락컴퍼니,2,1.0,2643
(주)브이더블유엑스,2,4.5,0
(주)브이아이펫,2,4.5,2438
(주)사일런트서비스,2,4.5,0
(주)스타키움,2,5.0,2298
(주)스튜디오바이블,2,4.0,3018
(주)아카이브코퍼레이션,2,2.0,4546
(주)온앤오프컴퍼니,2,2.5,0
(주)인터갤러틱,2,5.0,0
(주)인플루디오,2,3.5,0
(주)정글로,2,4.0,0
(주)컴퍼니잇,2,1.0,0
(주)투토,2,4.5,2510
(주)트레져러,2,4.0,3650
(주)헤이컬렉티브,2,5.0,4173
디라이터(주),2,3.5,2122
디에이치이노시스(주),2,2.5,2421
띠앗(주),2,2.0,2326
