,리뷰수(개),평점,평균 연봉(만)
(주)에스씨케이컴퍼니,4593,3.3,3194
파리바게뜨 (매장),4197,3.4,3016
롯데리아 (매장),3081,3.3,3098
한국맥도날드(유),2936,3.4,3218
(주)트랜스코스모스코리아,2253,2.6,2762
(주)유베이스,2099,2.6,2719
(주)하나투어,1800,3.0,3397
(주)세스코,1597,3.0,3502
(주)에스텍시스템,1595,2.4,2779
(주)유니에스,1529,2.6,2758
(주)아워홈,1480,2.7,4103
(주)에스케이쉴더스,1480,2.6,3745
씨제이푸드빌(주),1468,2.9,3847
(주)커피빈코리아,1456,2.8,2601
애슐리 (매장),1424,3.0,2924
(주)비케이알,1416,3.0,3068
(주)호텔신라,1281,3.0,4124
빕스 (매장),1206,3.4,2392
(주)에스원,1111,2.8,3838
엔제리너스 (매장),1074,3.3,2575
(주)삼구아이앤씨,1046,2.7,3613
롯데월드,995,3.4,4065
(주)메타넷엠플랫폼,963,2.4,2670
아웃백스테이크하우스코리아(유),946,3.3,2874
이트너스(주),931,2.6,3435
코웨이(주),926,3.0,5333
뚜레쥬르 (매장),897,3.4,2776
던킨/던킨도너츠 (매장),881,3.3,2782
(주)제니엘,769,2.8,2835
더케이텍(주),769,2.4,3114
한국마사회,731,3.9,4555
(주)맨파워코리아,727,2.8,3378
한화호텔앤드리조트(주),702,2.9,3796
(주)신세계푸드,669,3.0,3831
케이에이(주),664,2.2,2592
에이디티캡스(주),631,2.6,3710
(주)그린웹서비스,629,2.8,2696
삼성웰스토리(주),617,3.1,3671
람정제주개발(주) 제주신화월드,612,2.2,3136
(주)엠피씨플러스,607,2.5,2933
한국전기안전공사,596,2.9,3408
(주)노랑풍선,586,2.4,2990
(주)휴먼티에스에스,581,2.6,3677
(주)프로에스콤,564,2.6,2930
(주)케이에프씨코리아,555,2.6,3133
모두투어네트워크(주),548,3.1,3599
세일즈웍스 코리아(유),536,3.1,2817
스탭스(주),523,2.3,2531
(주)공차코리아,514,3.1,3293
AJ네트웍스(주),512,2.6,3780
(주)조선호텔앤리조트,506,2.8,3620
(주)이랜드파크,488,2.5,3346
한국농어촌공사,487,3.5,3508
한국피자헛(유),487,3.2,3464
그랜드코리아레저(주),477,3.1,4225
에스피씨그룹,474,2.9,4628
(주)키스템프,471,2.7,3527
서비스탑(주),470,2.8,3008
참좋은여행(주),467,2.6,2908
키자니아,467,3.1,3422
(주)호텔롯데,460,2.9,4032
서비스에이스(주),451,2.9,3152
(주)윌앤비전,446,2.5,2628
삼성전자서비스(주),443,3.3,4554
(주)맥서브,440,2.0,2804
티지아이프라이데이스 (매장),437,3.3,2797
(주)한국고용정보,422,2.4,2559
(주)쏘카,407,3.0,4242
대명레저산업(주),403,2.7,3470
(주)레드캡투어,390,2.8,3185
(주)한솥,363,3.1,3354
(재)에프아이티아이시험연구원,355,2.5,3852
본아이에프(주),354,2.6,3952
(주)디앤오,349,3.1,4286
(주)약손명가,348,2.2,2594
국립공원공단,345,3.1,3508
해비치호텔앤드리조트(주),343,2.6,3083
롯데관광개발(주),342,1.9,3004
내일투어(주),341,2.0,2585
