,리뷰수(개),평점,평균 연봉(만)
엔오비즈(주),14,2.6,3120
투라인코드(주),14,2.9,4747
휴앤시스(주),14,1.9,3671
(주)오퍼스엠,13,2.5,3782
(주)플러,13,2.2,2298
이모션웨이브(주),13,2.7,4000
해오름기술(주),13,1.6,2921
(주)넷텐션,12,2.5,4749
(주)더포틴,12,1.3,3005
(주)도해코리아,12,4.7,5076
(주)디비스쿨,12,4.0,4950
(주)싸이웰시스템,12,3.2,2989
(주)유비센스,12,3.3,2914
가후이엔씨(주),12,3.6,2746
에프아이티(주),12,2.7,3738
한국정보보호시스템(주),12,2.4,3454
(주)한컴아카데미,11,1.6,4047
나우티앤에스(주),11,2.5,3605
디에스이트레이드(주),11,3.3,3879
애니시큐어(주),11,3.5,2978
이아이티서비스(주),11,1.5,2727
(주)에프엘이에스,10,2.8,3681
(주)위크루트,10,3.7,3097
데이터스(주),10,2.1,3204
비버이엔티(주),10,1.7,4400
비엔티솔루션(주),10,2.7,3186
(주)레이풀시스템,9,2.8,3514
(주)로아컨설팅,9,3.4,3336
(주)코레이즈,9,4.4,3852
(주)풍자,9,2.2,2651
(주)한맥정보기술,9,2.8,3758
(주)헬스앤메디슨,9,1.9,4005
유큐브(주),9,3.1,3353
피듀시어리테크 코리아,9,4.1,3681
(주)랩오투원,8,4.3,3819
(주)빈티지랩,8,3.6,5236
(주)애기야가자,8,3.3,2868
(주)와이비애드,8,4.5,3681
(주)인포유앤컴퍼니,8,3.6,3681
(주)커넥스,8,4.3,3681
(주)피노유엑스디,8,2.6,3329
그린비아이티(주),8,2.5,2743
아이덴비인터랙티브(주),8,3.0,2457
아이비센터(주),8,2.4,3092
에프원컨설팅(주),8,4.0,6114
프리모리스엔젯리미티드,8,3.5,3681
(주)린아레나,7,2.4,2876
(주)버블콘,7,2.7,3473
(주)얼리슬로스,7,2.7,3681
(주)태거스,7,4.4,3417
다원컴퓨팅(주),7,3.9,3681
모모(주),7,2.3,3475
