,리뷰수(개),평점,평균 연봉(만)
국민건강보험공단,2499,3.9,3564.0
근로복지공단,1918,3.4,3060.0
새마을금고,1862,2.4,3804.0
농협은행(주),1563,3.7,5411.0
현대카드(주),1436,3.1,5720.0
중소기업은행,1383,3.8,5637.0
국민연금공단,1155,3.9,3744.0
현대캐피탈(주),1126,3.1,5430.0
국민은행(주),1102,3.7,6069.0
삼성생명보험(주),1003,2.9,6295.0
신한은행(주),957,3.3,5765.0
(주)우리은행,885,3.3,5479.0
신용보증기금,807,4.0,5307.0
한화생명보험(주),747,2.9,5905.0
하나은행(주),736,3.2,5867.0
한국스탠다드차타드은행(주),725,3.1,4956.0
삼성화재해상보험(주),661,3.3,5437.0
DB손해보험(주),656,3.0,5310.0
웰컴저축은행(주),650,2.3,3913.0
메리츠화재해상보험(주),589,2.8,5662.0
교보생명보험(주),569,3.0,5232.0
굿리치(주),525,2.6,3907.0
롯데카드(주),523,2.8,5236.0
한국투자증권(주),503,3.2,5908.0
한국산업은행,480,4.0,5462.0
한국자산관리공사,443,3.8,4623.0
삼성카드(주),442,3.5,6341.0
비씨카드(주),440,3.5,5995.0
농업협동조합중앙회,427,3.7,6035.0
삼성증권(주),419,3.2,5414.0
삼성카드고객서비스(주),415,2.8,3422.0
홍콩상하이은행서울지점,414,2.7,4767.0
서울보증보험(주),413,3.9,5810.0
키움증권(주),412,2.9,4305.0
현대해상화재보험(주),402,3.7,5774.0
한국주택금융공사,401,4.1,4797.0
삼성생명서비스손해사정(주),399,2.5,3410.0
미래에셋대우(주),396,3.3,5143.0
케이비라이프생명보험(주),396,3.4,5605.0
한국은행,385,4.1,5302.0
(주)케이비손해사정,374,2.3,3601.0
오케이저축은행(주),367,2.1,4733.0
신한투자증권(주),366,3.5,5868.0
신한카드(주),358,3.2,5950.0
대신증권(주),356,2.8,5751.0
(재)한국장학재단,335,3.6,4432.0
라이나생명보험(주),325,2.8,6212.0
(주)앞선그룹,324,2.4,3257.0
우체국금융개발원(재),305,2.5,3439.0
한국수출입은행,302,3.8,4841.0
한국씨티은행(주),300,3.3,7408.0
(주)에스비아이저축은행,299,3.1,5119.0
오렌지라이프생명보험(주),298,3.1,5018.0
메트라이프생명보험(주),296,3.5,5682.0
모아저축은행(주),296,1.6,3901.0
롯데손해보험(주),294,2.6,5503.0
현대커머셜(주),294,2.7,5310.0
한화손해보험(주),289,3.0,5574.0
현대하이라이프손해사정(주),288,2.5,4009.0
한화손해사정(주),282,2.6,3666.0
흥국생명보험(주),279,2.5,5310.0
기술보증기금,277,4.1,5484.0
(주)다스카손해사정화재해상,271,2.5,2948.0
악사손해보험(주),271,3.3,4702.0
하나증권(주),268,3.0,5716.0
에이원손해사정(주),259,2.4,2771.0
공무원연금공단,254,2.8,3848.0
산와대부(주),248,2.0,3867.0
케이비국민카드(주),247,3.7,6870.0
케이비증권(주),241,3.5,5809.0
(주)카카오뱅크,240,3.7,6502.0
(주)이동의즐거움,234,2.1,3818.0
유안타증권(주),232,3.2,5394.0
하나캐피탈(주),232,2.1,5156.0
(주)이상투자그룹,229,2.1,3499.0
신영증권(주),228,2.9,4651.0
삼성화재애니카손해사정(주),227,2.8,4730.0
케이비캐피탈(주),222,2.8,6226.0
대구은행(주),217,3.7,5713.0
미래에셋증권(주),217,3.4,5442.0
(주)카카오페이,216,3.8,5790.0
인카금융서비스(주),212,2.5,3178.0
미래에셋생명보험(주),206,2.9,6046.0
흥국화재해상보험(주),205,2.6,5844.0
한화투자증권(주),202,2.8,5277.0
피플라이프(주),199,2.5,3340.0
(주)에즈금융서비스,197,2.3,2843.0
수산업협동조합중앙회,197,3.1,4898.0
경남은행(주),196,3.1,5705.0
광주은행(주),196,3.5,4882.0
부산은행(주),193,3.4,5853.0
(주)케이뱅크,192,3.0,6222.0
고려신용정보(주),190,2.5,3436.0
(주)한국투자저축은행,188,2.9,5033.0
엔에이치농협캐피탈(주),182,2.4,4705.0
신용협동조합중앙회,181,3.8,4699.0
웰컴크레디라인대부(주),180,2.3,3673.0
(주)우리카드,178,2.8,5875.0
제이비우리캐피탈(주),178,3.0,5947.0
한국무역보험공사,177,4.1,4874.0
롯데캐피탈(주),174,2.5,5409.0
케이디비생명보험(주),169,2.8,5443.0
동양생명보험(주),165,3.1,4877.0
유진투자증권(주),165,2.9,5107.0
(주)에이플러스에셋어드바이저,159,2.2,3257.0
농협생명보험(주),159,3.5,6555.0
제이티친애저축은행(주),157,2.1,3547.0
프라임에셋(주),157,2.8,3413.0
(주)조이크레디트대부금융,152,1.9,3202.0
아프로파이낸셜대부(주),152,2.5,3947.0
예금보험공사,152,4.0,5667.0
비엠더블유파이낸셜서비스코리아(주),151,2.8,4816.0
에이비엘생명보험(주),147,3.5,5825.0
(주)핀크,146,3.2,5316.0
메르세데스벤츠파이낸셜서비스코리아(주),145,2.6,4716.0
(주)페퍼저축은행,143,2.3,4137.0
신한저축은행(주),143,2.5,4724.0
오릭스캐피탈코리아(주),141,2.9,4816.0
디비생명보험(주),139,2.9,4453.0
케이비생명보험(주),137,2.6,4889.0
하나손해보험(주),137,3.0,5109.0
한국벤처투자,137,3.0,4773.0
에이아이지손해보험(주),134,3.3,5584.0
미래에셋자산운용(주),133,3.5,6571.0
아주캐피탈(주),133,3.0,5694.0
이베스트투자증권(주),133,3.0,4864.0
(주)애큐온캐피탈,131,2.7,5650.0
미쓰비시도쿄유에프제이은행서울지점(주),131,2.1,4294.0
현대차증권(주),131,2.9,5595.0
디비씨에이에스손해사정(주),130,2.2,3252.0
(주)한국거래소,128,4.0,5532.0
아이비케이투자증권(주),128,2.5,4491.0
에스케이증권(주),126,3.5,4993.0
유화증권(주),126,2.3,3910.0
롯데멤버스(주),124,2.6,5378.0
전북은행(주),124,2.8,4989.0
(주)한빛자산관리대부,122,1.8,3109.0
새마을금고중앙회,122,3.4,5789.0
농협손해보험(주),119,3.7,6228.0
중국은행서울지점,119,1.9,3716.0
한국외환은행(주),119,3.3,6606.0
한국예탁결제원,117,4.2,5991.0
(주)글로벌금융판매,116,2.4,2963.0
다올투자증권(주),115,2.9,4700.0
브이피(주),114,2.3,4159.0
한패스(주),112,2.3,4296.0
현대라이프생명보험(주),111,2.6,5346.0
엠캐피탈(주),110,2.4,5141.0
(주)코인원,109,3.4,5090.0
건설근로자공제회,109,3.1,4243.0
현대하이카손해사정(주),109,3.5,4953.0
(주)코빗,108,3.3,5105.0
사립학교교직원연금공단,108,3.9,4065.0
(주)바로크레디트대부,106,2.6,3122.0
(주)오에스비저축은행,106,2.6,4013.0
글로벌텍스프리(주),105,2.7,3570.0
메리츠증권(주),105,3.5,5386.0
아이비케이캐피탈(주),105,3.8,7620.0
(주)상상인저축은행,104,2.8,4655.0
디지비캐피탈(주),104,2.4,5449.0
알씨아이파이낸셜서비스코리아(주),103,3.0,4841.0
한국예술인복지재단,103,2.3,3552.0
(주)이크레더블,102,2.9,4821.0
한화자산운용(주),102,3.1,5531.0
미즈호코퍼레이트은행서울지점,101,2.5,3664.0
에셋플러스자산운용(주),97,2.2,4206.0
교보증권(주),96,3.8,5567.0
(주)미래크레디트대부,94,2.5,3259.0
엘아이지손해보험(주),93,3.4,6764.0
한국교직원공제회,89,3.8,5199.0
디비씨에스아이손해사정(주),88,2.8,4459.0
비엔피파리바카디프생명보험(주),88,2.9,5496.0
하이투자증권(주),86,3.3,5612.0
도이치은행서울지점,85,2.8,6768.0
비엔피파리바은행서울지점,84,2.5,5058.0
서울신용보증재단,84,3.8,4622.0
아프로서비스그룹대부(주),84,2.6,3955.0
(주)더퍼스트인베스트먼트,82,3.4,3338.0
(주)스마트저축은행,81,2.5,3888.0
(주)한국토지신탁,81,3.8,6853.0
피씨에이생명보험(주),81,2.6,4457.0
금융감독원,80,3.9,5444.0
엠지손해보험(주),80,2.8,5609.0
미쓰이스미토모은행서울지점(주),79,2.7,4279.0
케이프투자증권,79,2.9,5652.0
한국투자공사,78,3.6,4868.0
에스엘이노베이션스(주),77,1.5,3416.0
(주)중국공상은행,76,2.4,4187.0
(주)피플펀드컴퍼니,76,3.9,5155.0
(주)스트리미,70,3.8,4571.0
(주)코람코자산신탁,69,3.6,5793.0
(주)아이씨비,67,3.2,4031.0
옐로우캐피탈대부(주),67,2.1,3129.0
신한캐피탈(주),66,3.4,6177.0
코리아신탁(주),66,4.0,4894.0
대신저축은행(주),65,2.4,4787.0
저축은행중앙회,65,2.8,5236.0
키움에셋플래너(주),64,2.7,4253.0
엠케이컨설팅(주),63,1.3,2298.0
의왕새마을금고,63,2.4,4822.0
한국자산신탁(주),63,3.2,6019.0
(주)스타크레디트대부,62,2.2,3745.0
동부증권(주),61,2.6,4833.0
삼성자산운용(주),60,3.7,7366.0
신한자산신탁(주),60,3.5,5332.0
(주)태강대부,59,2.3,3086.0
복합금융컨설팅(주),58,3.7,2395.0
(사)금융결제원,57,4.1,5528.0
(주)케이비저축은행,57,2.0,4427.0
기업금융센터(주),57,3.0,2725.0
메리츠캐피탈(주),57,2.5,5060.0
코리안리재보험(주),57,4.1,8041.0
(주)고위드,56,2.8,4528.0
한국투자신탁운용(주),55,3.5,5584.0
제주은행(주),54,2.7,5061.0
